cosmic,sample,TL-2-105,TAK-715,CP466722,BMS-345541,Genentech Cpd 10,GSK429286A,Ruxolitinib,SB-715992,ZSTK474,KIN001-102,CAL-101,GW-2580,BMS-708163,BX-912,LY317615,WZ3105,XMD14-99,CP724714,JW-7-24-1,ABT-869,GSK2126458,PHA-793887,TG101348,QL-XI-92,XMD15-27,QL-XII-47,AC220,EKB-569,Masitinib,OSI-930,XMD13-2,Bleomycin (50 uM),AT-7519,XL-184,NPK76-II-72-1,NG-25,TL-1-85,VX-11e,FR-180204,"Zibotentan, ZD4054",BIX02189,KIN001-236,KIN001-055,KIN001-266,NVP-BHG712,PIK-93,TPCA-1,Y-39983,YM201636,AV-951,GSK690693,KIN001-270,CH5424802,KIN001-244,KIN001-260,SB52334,AS605240,STF-62247,I-BET,MPS-1-IN-1,CX-5461,Tubastatin A,VNLG/124,XL-880,EX-527,THZ-2-49,PFI-1,UNC0638,UNC0638,OSI-027,SN-38,MP470,T0901317,IOX2,5-Fluorouracil,NSC-207895,CAY10603,GSK269962A,SB-505124,Tamoxifen,piperlongumine,PI-103,Phenformin,SNX-2112,BMS-708163,BMS-536924,AR-42,EHT 1864,QL-X-138,CCT007093,AG-014699,AZD6244,TW 37,rTRAIL,XAV 939,JNJ-26854165,PLX4720 (rescreen),CUDC-101,THZ-2-102-1,(5Z)-7-Oxozeaenol,JQ1,CHIR-99021,BMN-673,Afatinib (rescreen),UNC1215,SGC0946,Temozolomide,GSK1070916,"PXD101, Belinostat",PF-4708671,Olaparib (rescreen),YM155,FK866,AZD6482,Etoposide,Vinorelbine,Midostaurin,CCT018159,AP-24534,JNK-9L,JQ1,FTI-277,Trametinib,CHIR-99021,Shikonin,AKT inhibitor VIII,NSC-87877,AZD6482,HG-6-64-1,DMOG,JQ12,Mitomycin C,Embelin,LAQ824,Doxorubicin,QS11,Epothilone B,GSK-1904529A,Bicalutamide,OSU-03012,IPA-3,LFM-A13,GDC0941 (rescreen),Tipifarnib,FH535,BAY 61-3606,Pazopanib,AS601245,BMS-754807,OSI-906,Gemcitabine,Bryostatin 1,Obatoclax Mesylate,Bleomycin,PF-562271,GSK-650394,AUY922,RDEA119 (rescreen),Bicalutamide,PAC-1,Bexarotene,Cetuximab,Dabrafenib,Thapsigargin,Vorinostat,Bosutinib,Lenalidomide,Vinblastine,Cisplatin,Docetaxel,Olaparib,ABT-888,17-AAG,Vismodegib,Camptothecin,Methotrexate,ABT-263,AZD7762,CEP-701,AMG-706,Elesclomol,Afatinib,BX-795,Nutlin-3a,PD-173074,RO-3306,KU-55933,PLX4720,Axitinib,GW 441756,VX-702,JNK Inhibitor VIII,Cytarabine,Gefitinib,NU-7441,NVP-BEZ235,GDC0941,AZD8055,PD-0325901,AICAR,ATRA,RDEA119,CI-1040,BIRB 0796,Temsirolimus,SL 0101-1,SB590885,MK-2206,PD-0332991,AZD6244,FMK,Nilotinib,ZM-447439,YK 4-279,681640,SB 216763,MLN4924,QL-VIII-58,XMD8-92,HG-5-113-01,XMD11-85h,ZG-10,HG-5-88-01,QL-XII-61,PHA-665752,NVP-TAE684,Crizotinib,Imatinib,AZD-0530,AZ628,Parthenolide,KIN001-135,Sorafenib,Bortezomib,GSK269962A,MG-132,Paclitaxel,A-770041,BMS-509744,Pyrimethamine,GW843682X,MS-275,TGX221,Sunitinib,Z-LLNle-CHO,CGP-60474,CGP-082996,WZ-1-84,BMS-536924,CMK,A-443654,S-Trityl-L-cysteine,BI-2536,GNF-2,WH-4-023,Salubrinal,Dasatinib,XMD8-85,Roscovitine,Lapatinib,Cyclopamine,VX-680,JW-7-52-1,Erlotinib,Rapamycin
753575,KYSE-520,0.92,0.98,0.83,0.88,0.79,0.98,0.98,0.96,0.65,0.86,0.92,0.95,0.98,0.92,0.43,0.85,0.98,0.97,0.72,0.98,0.63,0.94,0.84,0.97,0.98,0.60,0.98,0.98,0.92,0.98,0.96,0.54,0.75,0.89,0.97,0.91,0.97,0.95,0.98,0.98,0.95,0.98,0.95,0.93,0.97,0.87,0.95,0.98,0.95,0.98,0.91,0.98,0.86,0.90,0.97,0.96,0.89,0.97,0.98,0.82,0.98,0.96,0.97,0.65,0.98,0.96,0.89,0.83,0.80,0.68,0.87,0.97,0.98,0.98,0.94,0.88,0.82,0.98,0.98,0.98,0.77,0.48,0.63,0.73,0.92,0.96,0.74,0.97,0.73,0.95,0.95,0.88,0.80,0.97,0.98,0.82,0.98,0.72,0.71,0.79,0.98,0.98,0.96,0.98,0.97,0.98,0.97,0.94,0.59,0.91,0.98,0.10,0.70,0.94,0.85,0.69,0.84,0.85,0.90,0.61,0.71,0.97,0.85,0.97,0.40,0.91,0.98,0.92,0.65,0.63,0.82,0.45,0.77,0.61,0.64,0.96,0.73,0.98,0.98,0.82,0.95,0.96,0.86,0.88,0.79,0.96,0.95,0.97,0.91,0.93,0.52,0.93,0.39,0.55,0.93,0.97,0.60,0.84,0.98,0.93,0.95,0.88,0.98,0.31,0.82,0.87,0.94,0.70,0.91,0.81,0.98,0.95,0.63,0.97,0.77,0.97,0.95,0.77,0.84,0.95,0.79,0.92,0.90,0.97,0.93,0.91,0.96,0.95,0.97,0.94,0.98,0.96,0.84,0.94,0.97,0.76,0.82,0.83,0.75,0.68,0.96,0.78,0.82,0.96,0.74,0.97,0.98,0.93,0.77,0.93,0.96,0.89,0.96,0.85,0.90,0.97,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240169,LN-229,0.92,0.98,0.90,0.98,0.90,0.98,0.99,0.97,0.92,0.93,0.98,0.99,0.99,0.98,0.95,0.97,0.99,0.97,0.92,0.99,0.95,0.97,0.95,0.98,0.99,0.91,0.97,0.94,0.98,0.98,0.99,0.48,0.96,0.99,0.98,0.99,0.99,0.98,0.97,0.99,0.99,0.99,0.96,0.98,0.97,0.97,0.98,0.97,0.96,0.99,0.99,0.98,0.99,0.96,0.99,0.95,0.82,0.98,0.95,0.92,0.99,0.98,0.98,0.81,0.98,0.85,0.90,0.93,0.85,0.89,0.55,0.98,0.99,0.99,0.97,0.98,0.68,0.87,0.98,0.98,0.65,0.92,0.86,0.82,0.98,0.98,0.67,0.96,0.90,0.98,0.94,0.86,0.44,0.99,0.98,0.87,0.97,0.68,0.93,0.56,0.99,0.88,0.73,0.95,0.99,0.98,0.95,0.98,0.56,0.97,0.87,0.21,0.30,0.94,0.81,0.83,0.97,0.94,0.93,0.77,0.81,0.98,0.47,0.99,0.45,0.97,0.94,0.91,0.82,0.42,0.89,0.42,0.76,0.46,0.69,0.99,0.70,0.99,0.99,0.84,0.88,0.98,0.86,0.86,0.65,0.92,0.96,0.90,0.90,0.98,0.51,0.95,0.46,0.77,0.94,0.96,0.53,0.82,0.99,0.98,0.98,0.98,0.97,0.44,0.80,0.94,0.99,0.42,0.91,0.68,0.99,0.99,0.69,0.99,0.52,0.97,0.98,0.70,0.79,0.97,0.57,0.97,0.97,0.98,0.98,0.91,0.97,0.97,0.99,0.99,0.99,0.98,0.77,0.96,0.99,0.85,0.98,0.94,0.79,0.87,0.99,0.81,0.81,0.98,0.87,0.98,0.99,0.99,0.84,0.75,0.98,0.98,0.94,0.70,0.93,0.96,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905946,MCF7,0.99,0.95,0.98,0.98,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.92,0.99,0.65,0.98,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.99,0.99,0.96,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.91,0.82,0.96,0.98,0.99,0.43,0.49,0.99,0.98,0.99,0.99,0.81,0.84,0.98,0.90,0.78,0.99,0.37,0.99,0.96,0.78,0.92,0.88,0.98,0.81,0.90,0.98,0.54,0.98,0.98,0.90,0.98,0.91,0.98,0.75,0.98,0.86,0.74,0.98,0.98,0.97,0.97,0.99,0.90,0.95,0.94,0.54,0.54,0.80,0.49,0.57,0.85,0.85,0.92,0.50,0.75,0.99,0.98,0.95,0.45,0.95,0.98,0.98,0.80,0.84,0.50,0.06,0.70,0.35,0.23,0.75,0.24,0.98,0.97,0.53,0.58,0.95,0.60,0.26,0.55,0.63,0.92,0.64,0.42,0.82,0.09,0.94,0.03,0.33,0.89,0.56,0.31,0.98,0.98,0.92,0.91,0.98,0.92,0.05,0.81,0.98,0.99,0.73,0.93,0.62,0.96,0.99,0.44,0.99,0.65,0.99,0.97,0.94,0.82,0.96,0.56,0.97,0.93,0.84,0.95,0.90,0.92,0.90,0.95,0.93,0.99,0.97,0.85,0.97,0.97,0.67,0.69,0.71,0.94,0.82,0.91,0.98,0.95,0.98,0.91,0.97,0.96,0.82,0.76,0.98,0.99,0.98,0.96,0.79,0.91,0.92,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908125,MEL-JUSO,0.96,0.95,0.83,0.73,0.70,0.96,0.98,0.71,0.79,0.85,0.96,0.98,0.98,0.81,0.64,0.62,0.96,0.97,0.77,0.96,0.64,0.87,0.84,0.94,0.96,0.61,0.98,0.89,0.85,0.96,0.90,0.47,0.50,0.91,0.76,0.81,0.85,0.75,0.97,0.98,0.96,0.98,0.98,0.84,0.68,0.71,0.72,0.92,0.93,0.96,0.95,0.97,0.96,0.79,0.94,0.54,0.60,0.97,0.97,0.75,0.75,0.95,0.98,0.54,0.98,0.44,0.93,0.78,0.55,0.48,0.67,0.93,0.98,0.98,0.58,0.74,0.45,0.88,0.98,0.98,0.75,0.57,0.52,0.32,0.94,0.82,0.54,0.92,0.96,0.93,0.94,0.59,0.58,0.98,0.98,0.88,0.98,0.48,0.08,0.50,0.98,0.97,0.93,0.97,0.98,0.98,0.96,0.88,0.40,0.91,0.96,0.03,0.28,0.89,0.43,0.52,0.82,0.94,0.88,0.51,0.80,0.66,0.27,0.97,0.35,0.86,0.96,0.86,0.58,0.53,0.76,0.14,0.72,0.43,0.30,0.84,0.37,0.95,0.98,0.63,0.84,0.98,0.78,0.13,0.68,0.75,0.97,0.74,0.44,0.73,0.10,0.98,0.09,0.10,0.84,0.74,0.47,0.64,0.98,0.85,0.96,0.98,0.91,0.17,0.78,0.81,0.96,0.63,0.88,0.81,0.96,0.96,0.31,0.98,0.69,0.97,0.98,0.53,0.70,0.92,0.49,0.98,0.84,0.75,0.98,0.95,0.98,0.97,0.93,0.94,0.98,0.98,0.43,0.98,0.96,0.74,0.80,0.74,0.53,0.97,0.98,0.57,0.78,0.86,0.62,0.98,0.98,0.79,0.66,0.98,0.94,0.98,0.91,0.79,0.98,0.98,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298347,NCI-H1435,0.99,0.98,0.89,0.95,0.99,0.99,0.99,0.98,0.92,0.97,0.98,0.96,0.99,0.99,0.91,0.99,0.99,0.99,0.97,0.99,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.96,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.97,0.93,0.99,0.95,0.95,0.99,0.98,0.99,0.99,0.98,0.99,0.93,0.98,0.98,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.81,0.99,0.88,0.92,0.87,0.85,0.99,0.94,0.98,0.99,0.99,0.99,0.99,0.71,0.99,0.99,0.99,0.94,0.99,0.80,0.95,0.99,0.99,0.82,0.99,0.99,0.99,0.99,0.99,0.93,0.99,0.99,0.99,0.99,0.98,0.98,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.67,0.48,0.93,0.86,0.82,0.99,0.98,0.99,0.55,0.91,0.99,0.99,0.98,0.65,0.94,0.99,0.90,0.95,0.69,0.85,0.31,0.79,0.60,0.82,0.97,0.83,0.99,0.98,0.88,0.99,0.93,0.97,0.92,0.39,0.98,0.95,0.86,0.99,0.99,0.89,0.95,0.51,0.44,0.99,0.96,0.87,0.99,0.99,0.99,0.94,0.99,0.99,0.29,0.54,0.99,0.99,0.96,0.99,0.98,0.97,0.98,0.98,0.99,0.97,0.99,0.71,0.98,0.99,0.99,0.97,0.95,0.89,0.99,0.99,0.99,0.92,0.98,0.99,0.99,0.96,0.99,0.99,0.98,0.94,0.94,0.94,0.95,0.99,0.88,0.97,0.98,0.97,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687794,NCI-H1437,0.66,0.90,0.77,0.79,0.80,0.98,0.99,0.74,0.67,0.59,0.96,0.99,0.99,0.94,0.50,0.77,0.96,0.96,0.64,0.98,0.67,0.62,0.80,0.93,0.96,0.58,0.90,0.95,0.83,0.94,0.90,0.92,0.43,0.97,0.90,0.93,0.96,0.90,0.98,0.99,0.98,0.98,0.97,0.88,0.97,0.91,0.93,0.97,0.84,0.98,0.96,0.99,0.98,0.92,0.97,0.95,0.59,0.98,0.91,0.91,0.99,0.98,0.98,0.77,0.99,0.86,0.93,0.87,0.80,0.46,0.91,0.90,0.94,0.97,0.94,0.95,0.63,0.98,0.98,0.98,0.82,0.52,0.68,0.90,0.98,0.77,0.65,0.95,0.61,0.90,0.95,0.59,0.54,0.84,0.97,0.86,0.98,0.74,0.70,0.75,0.98,0.97,0.94,0.98,0.98,0.98,0.98,0.95,0.57,0.96,0.98,0.05,0.70,0.94,0.69,0.52,0.95,0.84,0.97,0.52,0.58,0.90,0.44,0.98,0.61,0.79,0.93,0.92,0.91,0.37,0.58,0.20,0.68,0.32,0.51,0.80,0.41,0.94,0.99,0.80,0.96,0.97,,0.73,0.54,0.72,0.95,0.82,0.45,0.91,0.28,0.91,0.38,0.29,0.94,0.74,0.58,,,0.87,0.93,,0.98,0.27,0.69,0.96,0.98,0.54,0.90,0.67,0.98,0.98,0.61,0.97,0.69,0.89,0.97,0.73,0.73,0.97,0.80,0.99,0.88,0.96,0.99,0.94,0.93,0.98,0.95,0.94,0.99,0.97,0.71,0.97,0.94,0.69,0.67,0.75,0.49,0.82,0.94,0.55,0.54,0.92,0.65,0.98,0.99,0.79,0.84,0.95,0.97,0.98,0.91,,0.98,,,0.28,0.95,0.75,0.95,0.82,0.84,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687802,NCI-H1693,0.98,0.97,0.88,0.95,0.96,0.98,0.97,0.98,0.83,0.97,0.97,0.97,0.94,0.95,0.98,0.82,0.97,0.97,0.79,0.97,0.72,0.96,0.85,0.96,0.97,0.92,0.97,0.73,0.94,0.98,0.95,0.71,0.93,0.92,0.98,0.92,0.94,0.91,0.89,0.97,0.83,0.97,0.86,0.95,0.95,0.82,0.80,0.98,0.95,0.97,0.98,0.96,0.96,0.94,0.97,0.83,0.92,0.97,0.84,0.97,0.98,0.92,0.98,0.80,0.97,0.72,0.87,0.73,0.72,0.58,0.65,0.98,0.98,0.97,0.97,0.97,0.58,0.91,0.97,0.97,0.65,0.64,0.83,0.96,0.98,0.93,0.47,0.94,0.80,0.96,0.89,0.77,0.68,0.97,0.85,0.74,0.96,0.43,0.68,0.71,0.97,0.93,0.87,0.71,0.97,0.97,0.96,0.95,0.60,0.87,0.92,0.11,0.69,0.86,0.86,0.98,0.88,0.93,0.97,0.79,0.73,0.97,0.64,0.97,0.78,0.95,0.98,0.88,0.94,0.72,0.82,0.49,0.94,0.53,0.68,0.84,0.89,0.97,0.97,0.90,0.98,0.95,0.81,0.87,0.87,0.90,0.90,0.96,0.97,0.95,0.51,0.92,0.55,0.63,0.96,0.94,0.63,0.79,0.94,0.96,0.94,0.97,0.95,0.82,0.83,0.76,0.92,0.77,0.93,0.90,0.90,0.90,0.96,0.95,0.63,0.97,0.92,0.72,0.97,0.93,0.48,0.84,0.91,0.96,0.95,0.96,0.95,0.96,0.96,0.94,0.97,0.93,0.87,0.90,0.96,0.72,0.94,0.77,0.90,0.85,0.95,0.89,0.73,0.94,0.67,0.96,0.95,0.85,0.85,0.90,0.96,0.90,0.93,0.91,0.97,0.97,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687821,NCI-H2405,0.83,0.94,0.77,0.88,0.98,0.93,0.98,0.92,0.77,0.94,0.99,0.97,0.98,0.92,0.87,0.88,0.99,0.98,0.80,0.98,0.85,0.93,0.93,0.95,0.99,0.84,0.98,0.92,0.93,0.95,0.96,0.74,0.84,0.94,0.93,0.96,0.92,0.89,0.93,0.98,0.96,0.97,0.95,0.93,0.85,0.92,0.88,0.96,0.96,0.98,0.99,0.98,0.97,0.94,0.97,0.94,0.45,0.99,0.98,0.97,0.98,0.99,0.99,0.77,0.98,0.78,0.94,0.98,0.93,0.73,0.68,0.96,0.98,0.98,0.97,0.99,0.84,0.82,0.97,0.98,0.75,0.86,0.85,0.88,0.92,0.93,0.69,0.97,0.82,0.96,0.92,0.86,0.60,0.98,0.93,0.95,0.97,0.75,0.86,0.53,0.98,0.95,0.77,0.98,0.90,0.95,0.98,0.95,0.67,0.94,0.96,0.20,0.41,0.90,0.65,0.83,0.86,0.87,0.92,0.69,0.88,0.99,0.65,0.97,0.42,0.94,0.95,0.96,0.54,0.50,0.94,0.35,0.70,0.47,0.69,0.93,0.67,0.97,0.98,0.68,0.70,0.97,0.83,0.79,0.51,0.86,0.93,0.80,0.82,0.91,0.34,0.98,0.29,0.52,0.94,0.91,0.48,0.80,0.97,0.95,0.92,0.93,0.90,0.17,0.88,0.98,0.97,0.95,0.91,0.94,0.98,0.99,0.76,0.99,0.80,0.99,0.90,0.95,0.84,0.98,0.68,0.98,0.85,0.97,0.98,0.85,0.98,0.98,0.94,0.98,0.99,0.99,0.88,0.96,0.98,0.68,0.94,0.81,0.91,0.97,0.99,0.73,0.94,0.96,0.97,0.98,0.98,0.94,0.91,0.98,0.97,0.97,0.98,0.86,0.98,0.88,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908462,NCI-H2452,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.50,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.88,0.72,0.89,0.98,0.79,0.92,0.98,0.98,0.96,0.97,0.92,0.85,0.98,0.96,0.77,0.98,0.93,0.95,0.94,0.92,0.96,0.93,0.98,0.97,0.95,0.82,0.64,0.98,0.93,0.81,0.90,0.94,0.93,0.66,0.98,0.79,0.80,0.93,0.98,0.98,0.97,0.98,0.94,0.98,0.92,0.24,0.90,0.76,0.98,0.97,0.93,0.95,0.88,0.70,0.90,0.96,0.69,0.86,0.85,0.94,0.97,0.91,0.73,0.67,0.82,0.82,0.94,0.67,0.88,0.98,0.93,0.97,0.98,0.95,0.98,0.98,0.75,0.89,0.97,0.98,0.91,0.98,0.97,0.98,0.93,0.95,0.87,0.97,0.89,0.98,0.98,0.84,0.86,0.98,0.97,0.98,0.83,0.98,0.88,0.97,0.98,0.59,0.97,0.67,0.98,0.98,0.63,0.98,0.79,0.93,0.97,0.82,0.79,0.98,0.61,0.98,0.87,0.98,0.96,0.97,0.94,0.95,0.96,0.98,0.98,0.98,0.87,0.98,0.96,0.67,0.92,0.73,0.95,0.90,0.97,0.86,0.89,0.95,0.83,0.96,0.98,0.97,0.91,0.98,0.98,0.98,0.95,0.77,0.98,0.93,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908470,NCI-H28,0.98,0.97,0.93,0.95,0.96,0.97,0.98,0.97,0.96,0.95,0.98,0.98,0.98,0.97,0.92,0.98,0.98,0.98,0.87,0.97,0.95,0.97,0.90,0.95,0.97,0.93,0.98,0.96,0.96,0.97,0.97,0.57,0.97,0.96,0.98,0.89,0.96,0.97,0.97,0.98,0.96,0.98,0.97,0.93,0.93,0.92,0.91,0.95,0.94,0.98,0.97,0.98,0.98,0.94,0.98,0.95,0.98,0.98,0.98,0.92,0.94,0.98,0.98,0.83,0.98,0.98,0.90,0.79,0.85,0.94,0.81,0.95,0.97,0.96,0.89,0.91,0.84,0.90,0.98,0.98,0.72,0.92,0.97,0.92,0.90,0.88,0.92,0.91,0.93,0.92,0.91,0.91,0.53,0.65,0.96,0.83,0.98,0.96,0.85,0.70,0.98,0.84,0.79,0.82,0.98,0.98,0.98,0.96,0.87,0.90,0.90,0.33,0.85,0.83,0.89,0.85,0.80,0.87,0.96,0.55,0.81,0.96,0.87,0.88,0.54,0.96,0.98,0.89,0.69,0.75,0.87,0.62,0.83,0.48,0.89,0.98,0.78,0.93,0.98,0.85,0.98,0.98,,0.78,0.71,0.80,0.98,0.78,0.90,0.89,0.71,0.98,0.48,0.37,0.90,0.95,0.84,,,0.97,0.98,,0.84,0.78,0.81,0.93,0.98,0.66,0.91,0.73,0.97,0.96,0.58,0.96,0.75,0.88,0.98,0.65,0.71,0.97,0.54,0.90,0.80,0.80,0.98,0.91,0.94,0.93,0.91,0.98,0.96,0.98,0.83,0.90,0.94,0.63,0.75,0.69,0.96,0.80,0.94,0.84,0.85,0.90,0.81,0.97,0.98,0.88,0.81,0.94,,0.96,0.92,,0.94,0.92,,0.48,0.93,0.69,0.94,0.75,0.89,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908443,NCI-H520,0.85,0.93,0.78,0.86,0.82,0.97,0.99,0.55,0.39,0.55,0.79,0.99,0.96,0.84,0.83,0.50,0.96,0.98,0.45,0.99,0.48,0.61,0.72,0.89,0.98,0.66,0.93,0.87,0.85,0.92,0.81,0.94,0.53,0.86,0.64,0.66,0.79,0.96,0.97,0.98,0.73,0.96,0.89,0.67,0.71,0.52,0.69,0.92,0.67,0.97,0.66,0.89,0.98,0.66,0.88,0.89,0.89,0.98,0.90,0.90,0.54,0.91,0.99,0.60,0.98,0.28,0.97,0.83,0.60,0.23,0.90,0.91,0.98,0.98,0.59,0.98,0.41,0.97,0.99,0.99,0.96,0.19,0.73,0.49,0.96,0.96,0.56,0.96,0.68,0.97,0.96,0.99,0.60,0.99,0.97,0.96,0.99,0.48,0.14,0.84,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.86,0.42,0.97,0.98,0.09,0.46,0.84,0.82,0.42,0.97,0.95,0.78,0.53,0.83,0.99,0.95,0.99,0.51,0.80,0.99,0.80,0.66,0.60,0.83,0.24,0.81,0.43,0.74,0.92,0.57,0.97,0.99,0.67,0.90,0.98,0.89,0.61,0.67,0.88,0.82,0.87,0.93,0.99,0.33,0.98,0.23,0.74,0.97,0.85,0.60,0.98,0.98,0.94,0.96,0.99,0.99,0.14,0.90,0.99,0.99,0.73,0.94,0.74,0.99,0.99,0.73,0.99,0.89,0.94,0.99,0.84,0.58,0.96,0.81,0.98,0.99,0.98,0.94,0.99,0.96,0.99,0.96,0.97,0.99,0.98,0.96,0.98,0.96,0.75,0.70,0.67,0.96,0.79,0.99,0.95,0.99,0.98,0.89,0.98,0.99,0.68,0.63,0.96,0.97,0.99,0.92,0.83,0.99,0.99,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908459,NCI-H596,0.98,0.98,0.83,0.89,0.89,0.96,0.96,0.89,0.65,0.84,0.97,0.98,0.97,0.94,0.96,0.80,0.98,0.95,0.67,0.95,0.52,0.85,0.80,0.98,0.98,0.69,0.96,0.73,0.91,0.98,0.91,0.73,0.68,0.90,0.93,0.96,0.93,0.97,0.98,0.98,0.93,0.98,0.97,0.88,0.92,0.64,0.84,0.91,0.92,0.97,0.82,0.98,0.96,0.91,0.98,0.86,0.65,0.98,0.90,0.97,0.85,0.98,0.98,0.74,0.98,0.98,0.88,0.83,0.70,0.64,0.97,0.98,0.98,0.97,0.79,0.98,0.56,0.92,0.98,0.96,0.75,0.40,0.97,0.69,0.92,0.89,0.64,0.95,0.65,0.96,0.97,0.91,0.81,0.96,0.97,0.90,0.98,0.56,0.81,0.60,0.96,0.97,0.94,0.94,0.97,0.97,0.98,0.92,0.47,0.94,0.93,0.19,0.55,0.95,0.81,0.92,0.98,0.87,0.98,0.57,0.64,0.98,0.82,0.98,0.46,0.93,0.98,0.97,0.83,0.90,0.89,0.56,0.80,0.55,0.57,0.97,0.75,0.98,0.98,0.80,0.88,0.95,0.78,0.59,0.71,0.92,0.95,0.89,0.96,0.98,0.62,0.98,0.29,0.66,0.95,0.96,0.57,0.89,0.98,0.88,0.96,0.96,0.98,0.50,0.91,0.98,0.98,0.85,0.97,0.82,0.98,0.98,0.87,0.98,0.97,0.92,0.88,0.90,0.81,0.98,0.69,0.94,0.93,0.98,0.95,0.98,0.97,0.96,0.97,0.97,0.98,0.97,0.97,0.98,0.94,0.79,0.84,0.76,0.93,0.90,0.97,0.81,0.93,0.98,0.93,0.97,0.98,0.96,0.98,0.98,0.97,0.98,0.98,0.81,0.98,0.98,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724855,NCI-H727,0.91,0.93,0.91,0.81,0.92,0.96,0.98,0.96,0.87,0.91,0.97,0.97,0.97,0.95,0.62,0.92,0.95,0.95,0.82,0.96,0.78,0.93,0.87,0.96,0.97,0.91,0.97,0.77,0.89,0.96,0.94,0.96,0.77,0.98,0.96,0.98,0.97,0.74,0.95,0.97,0.96,0.98,0.93,0.87,0.85,0.94,0.87,0.95,0.91,0.97,0.96,0.97,0.97,0.93,0.96,0.96,0.37,0.96,0.88,0.92,0.97,0.95,0.98,0.77,0.98,0.91,0.88,0.78,0.78,0.66,0.90,0.93,0.96,0.97,0.94,0.97,0.88,0.94,0.97,0.97,0.85,0.70,0.91,0.67,0.96,0.84,0.81,0.96,0.85,0.95,0.95,0.55,0.65,0.97,0.97,0.91,0.97,0.82,0.78,0.81,0.95,0.92,0.97,0.91,0.96,0.97,0.97,0.92,0.70,0.96,0.94,0.50,0.95,0.97,0.97,0.88,0.89,0.95,0.88,0.52,0.63,0.97,0.36,0.90,0.43,0.93,0.93,0.90,0.62,0.78,0.79,0.28,0.67,0.31,0.41,0.79,0.50,0.92,0.97,0.54,0.73,0.91,0.90,0.50,0.50,0.80,0.77,0.59,0.30,0.55,0.23,0.88,0.20,0.58,0.92,0.82,0.45,0.58,0.95,0.77,0.93,0.96,0.88,0.31,0.90,0.96,0.97,0.81,0.94,0.85,0.96,0.97,0.75,0.96,0.91,0.92,0.87,0.68,0.60,0.92,0.93,0.93,0.91,0.97,0.97,0.86,0.95,0.84,0.97,0.97,0.97,0.97,0.96,0.90,0.89,0.78,0.83,0.87,0.87,0.93,0.98,0.86,0.59,0.94,0.84,0.90,0.86,0.83,0.90,0.86,0.94,0.97,0.89,0.92,0.94,0.96,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
