,cnv_prot,cnv_trans,score,attenuation
TOX4,-0.00433653250873,0.758916282622,0.76325281513,High
RCL1,-0.0789873813904,0.672631417265,0.751618798656,High
UTP3,-0.0157769295081,0.718383081883,0.734160011392,High
COPS5,-0.0377710464725,0.688038987828,0.725810034301,High
GATC,-0.112304225662,0.611226736488,0.72353096215,High
SPCS1,-0.205723985135,0.510203117957,0.715927103092,High
MRPL51,-0.0892611305926,0.62042850006,0.709689630652,High
SMARCB1,-0.136399607774,0.572535689592,0.708935297366,High
BRD7,-0.0257413251204,0.677234772831,0.702976097951,High
KIAA1429,-0.0395005612791,0.6597800382,0.699280599479,High
MED21,-0.0742929966184,0.621239958016,0.695532954634,High
MAEA,0.0432839540451,0.728213429131,0.684929475086,High
PAF1,-0.00974928421881,0.671228009182,0.680977293401,High
TAF6L,-0.0792782506323,0.589973108198,0.66925135883,High
SNRPD3,-0.0488120995743,0.613998574097,0.662810673672,High
UBL7,-0.0451457750856,0.61699080234,0.662136577426,High
PIBF1,0.00129996714377,0.655540127667,0.654240160523,High
RNF20,-0.0783365986395,0.574023246773,0.652359845413,High
SLC30A6,-0.113133725255,0.538419844099,0.651553569355,High
INTS4,0.0715298770182,0.721959707092,0.650429830074,High
C18orf8,0.0353453651472,0.682334514754,0.646989149607,High
SUPT4H1,-0.06554950969,0.575891804801,0.641441314491,High
GPAA1,-0.0179201694146,0.620344972261,0.638265141676,High
INTS10,0.0604854559857,0.692552264033,0.632066808047,High
C19orf52,0.109306608229,0.741115821755,0.631809213525,High
C7orf26,0.0342094814312,0.665092128168,0.630882646737,High
RRAGA,0.0631680242012,0.690035328373,0.626867304172,High
RPS19BP1,-0.102788053006,0.523127512941,0.625915565946,High
RPP14,0.0276092405705,0.653052872127,0.625443631556,High
CNOT10,0.0202890369599,0.64190332987,0.62161429291,High
MCRS1,0.0353701791178,0.656944048576,0.621573869458,High
HAUS3,0.0374581502574,0.65881920669,0.621361056433,High
GLE1,0.0450477607089,0.665796692439,0.62074893173,High
CXXC1,0.051816257481,0.668943846,0.617127588519,High
IK,-0.00714013082917,0.608041275507,0.615181406336,High
WDR46,0.0740942956735,0.683848917576,0.609754621903,High
MED8,0.0701336519161,0.679738330988,0.609604679072,High
MRPL37,-0.0293670871226,0.57992867271,0.609295759833,High
CCNK,0.0819085835677,0.691163246674,0.609254663106,High
INTS9,0.130567348436,0.738747792928,0.608180444491,High
MRPS2,-0.0900050760988,0.517447461417,0.607452537516,High
MED6,0.0649276588366,0.672344212809,0.607416553973,High
RINT1,0.0316855053881,0.637205196411,0.605519691023,High
RPL17,-0.0508484050937,0.554312386981,0.605160792075,High
MFAP1,0.0915170102089,0.696375856619,0.60485884641,High
VPS41,-0.0240034487018,0.58057191337,0.604575362072,High
GATAD1,-0.0762934094263,0.527244233478,0.603537642904,High
KIAA0196,0.00534593860899,0.605644213021,0.600298274412,High
EIF3I,-0.0828303032376,0.516333326037,0.599163629275,High
INTS12,0.0307433428346,0.628993011283,0.598249668448,High
SEH1L,0.0654770638218,0.663418519611,0.597941455789,High
KDM1A,-0.00939980031674,0.585485436878,0.594885237195,High
MED20,0.112089245464,0.705553000804,0.59346375534,High
SMARCE1,0.0133685150919,0.606757588236,0.593389073144,High
TAF2,0.112203165874,0.705562566844,0.59335940097,High
PSMC4,-0.0187964159486,0.574524852238,0.593321268187,High
VPS8,0.0291699795508,0.62219433283,0.59302435328,High
TADA3,0.0362955861549,0.627915182646,0.591619596491,High
NOL11,0.07552511979,0.665734356699,0.590209236909,High
CNOT7,0.127726402223,0.715414998172,0.587688595949,High
ELP4,-0.00257324976707,0.585006350928,0.587579600695,High
THOC5,0.0214490251456,0.608639772658,0.587190747512,High
COG1,0.0349433231349,0.621055442089,0.586112118955,High
UTP6,-0.0675416875963,0.518371085494,0.58591277309,High
MED30,-0.0127684143805,0.572874065451,0.585642479831,High
ARPC1A,-0.0418463789141,0.543639617206,0.585485996121,High
SMU1,0.147567371964,0.732235652906,0.584668280942,High
RBM22,0.122398237141,0.706657963406,0.584259726264,High
KAT5,-0.0898393226137,0.493604322672,0.583443645286,High
SF3A3,0.0285627185929,0.611097103409,0.582534384816,High
EIF2B2,0.0622013106621,0.643425564092,0.58122425343,High
GNB2L1,-0.0133545098238,0.567729693083,0.581084202907,High
ELMO2,0.0302711097996,0.611338025745,0.581066915946,High
FARSA,0.061559302469,0.642212772249,0.58065346978,High
NDUFAF1,0.00453375797649,0.584857304759,0.580323546782,High
FAM96B,-0.173787638809,0.405146988294,0.578934627103,High
MEN1,0.0244316909995,0.60296964085,0.57853794985,High
GPS1,0.0358504291046,0.613409665594,0.577559236489,High
PRPF38A,-0.0210170740818,0.553505837805,0.574522911887,High
ATG12,0.112704952937,0.686859379325,0.574154426388,High
MRPL27,0.0165646366542,0.589646269929,0.573081633275,High
SNRNP40,0.0511432413242,0.623459935645,0.572316694321,High
GOLGA7,0.0917081951996,0.663501997116,0.571793801916,High
PSMB2,-0.0329368184942,0.538710222045,0.57164704054,High
AQR,0.173325452678,0.744543208512,0.571217755835,High
IMP3,0.0185426967408,0.589398479744,0.570855783003,High
CPSF2,-0.0283687406916,0.541256333276,0.569625073968,High
POLR2B,0.0788099336263,0.647925110523,0.569115176896,High
INTS8,0.0289896700833,0.59725756046,0.568267890377,High
DYM,0.128894612625,0.69673060073,0.567835988105,High
ATP6V1H,0.0313282719405,0.598802913452,0.567474641512,High
UTP15,-0.0381372135321,0.528960772021,0.567097985553,High
TAF6,0.0971262900232,0.663896932271,0.566770642248,High
NFYC,0.0314655155348,0.598108905189,0.566643389654,High
GPR108,0.0328973672228,0.599346794949,0.566449427726,High
THAP4,-0.0537838609765,0.512409774655,0.566193635632,High
MNAT1,0.00997528308472,0.57584466258,0.565869379495,High
RNF40,-0.0256350790034,0.539659893541,0.565294972545,High
CCT5,0.0560910298612,0.620361440453,0.564270410592,High
SCFD2,-0.0247209405571,0.537684212067,0.562405152624,High
GTF2E1,-0.0167146870697,0.545310991851,0.562025678921,High
RAB28,0.0852853184254,0.647189662145,0.56190434372,High
NDUFA9,0.0099949376154,0.571600179533,0.561605241918,High
